event_id,date,metric,value,expected,deviation_pct,severity,explanation,action_hint
A-0002,2024-03-10,margin_rate,0.16,0.35,-0.5344,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0003,2024-03-21,margin_rate,0.23,0.35,-0.3445,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0005,2024-06-20,margin_rate,0.25,0.35,-0.2935,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0006,2024-07-19,margin_rate,0.26,0.34,-0.2485,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0008,2024-09-14,roas,5.33,2.86,0.8649,Medium,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0009,2024-10-18,margin_rate,0.27,0.35,-0.2452,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0011,2024-10-20,margin_rate,0.28,0.35,-0.2161,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0012,2024-10-31,margin_rate,0.28,0.35,-0.2083,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0015,2024-11-02,margin_rate,0.27,0.35,-0.2245,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0018,2024-11-07,margin_rate,0.21,0.34,-0.3816,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0023,2024-12-26,margin_rate,0.14,0.25,-0.4203,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0024,2025-01-01,margin_rate,0.37,0.25,0.4841,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0026,2025-02-09,margin_rate,0.28,0.35,-0.2014,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0027,2025-02-19,margin_rate,0.28,0.35,-0.1834,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0030,2025-03-18,margin_rate,0.19,0.33,-0.4318,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0032,2025-04-18,margin_rate,0.25,0.34,-0.2590,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0034,2025-06-07,roas,6.50,4.15,0.5638,Medium,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0035,2025-09-07,roas,2.48,4.23,-0.4134,Medium,Marketing efficiency moved materially away from its recent baseline.,"Review paid spend, traffic quality, landing-page conversion, and channel allocation."
A-0036,2025-09-11,margin_rate,0.24,0.35,-0.3067,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0039,2025-11-05,net_revenue,23186.23,15893.60,0.4588,Medium,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0040,2025-11-08,net_revenue,23767.78,16196.99,0.4674,Medium,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0043,2026-01-01,margin_rate,0.37,0.24,0.5091,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0044,2026-02-14,margin_rate,0.25,0.35,-0.2700,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0048,2026-04-09,margin_rate,0.25,0.34,-0.2797,Medium,Gross margin rate moved materially away from its recent baseline.,"Inspect discount depth, return rate, shipping cost, and product mix."
A-0050,2026-04-11,net_revenue,27615.27,17329.57,0.5935,Medium,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0004,2024-04-26,net_revenue,16763.98,9595.65,0.7470,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0007,2024-09-14,net_revenue,16662.32,9237.05,0.8039,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0010,2024-10-19,net_revenue,17794.83,12108.83,0.4696,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0014,2024-11-02,net_revenue,18582.78,11542.42,0.6100,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0025,2025-02-09,net_revenue,7017.19,12110.07,-0.4205,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0031,2025-03-29,net_revenue,22256.53,13066.30,0.7034,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0033,2025-06-07,net_revenue,24668.66,16293.51,0.5140,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0046,2026-03-08,net_revenue,7288.05,15705.01,-0.5359,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
A-0049,2026-04-10,net_revenue,26508.47,17329.57,0.5297,Low,Revenue moved materially away from its recent baseline.,"Check stock availability, large campaigns, discounting, and order source mix."
